hits,quarter,term,year
337,4,war AND veteran,1949
312,1,war AND veteran,1950
339,2,war AND veteran,1950
393,3,war AND veteran,1950
350,4,war AND veteran,1950
321,1,war AND veteran,1951
354,2,war AND veteran,1951
392,3,war AND veteran,1951
345,4,war AND veteran,1951
314,1,war AND veteran,1952
226,2,war AND veteran,1952
273,3,war AND veteran,1952
268,4,war AND veteran,1952
226,1,war AND veteran,1953
226,2,war AND veteran,1953
228,3,war AND veteran,1953
226,4,war AND veteran,1953
175,1,war AND veteran,1954
200,2,war AND veteran,1954
175,3,war AND veteran,1954
193,4,war AND veteran,1954
183,1,war AND veteran,1955
182,2,war AND veteran,1955
133,3,war AND veteran,1955
171,4,war AND veteran,1955
136,1,war AND veteran,1956
154,2,war AND veteran,1956
127,3,war AND veteran,1956
100,4,war AND veteran,1956
69,1,war AND veteran,1957
88,2,war AND veteran,1957
93,3,war AND veteran,1957
72,4,war AND veteran,1957
77,1,war AND veteran,1958
95,2,war AND veteran,1958
97,3,war AND veteran,1958
97,4,war AND veteran,1958
84,1,war AND veteran,1959
96,2,war AND veteran,1959
91,3,war AND veteran,1959
89,4,war AND veteran,1959
86,1,war AND veteran,1960
74,2,war AND veteran,1960
70,3,war AND veteran,1960
99,4,war AND veteran,1960
79,1,war AND veteran,1961
97,2,war AND veteran,1961
63,3,war AND veteran,1961
64,4,war AND veteran,1961
82,1,war AND veteran,1962
76,2,war AND veteran,1962
76,3,war AND veteran,1962
69,4,war AND veteran,1962
18,1,war AND veteran,1963
75,2,war AND veteran,1963
58,3,war AND veteran,1963
67,4,war AND veteran,1963
56,1,war AND veteran,1964
60,2,war AND veteran,1964
55,3,war AND veteran,1964
56,4,war AND veteran,1964
63,1,war AND veteran,1965
73,2,war AND veteran,1965
55,3,war AND veteran,1965
67,4,war AND veteran,1965
82,1,war AND veteran,1966
88,2,war AND veteran,1966
111,3,war AND veteran,1966
93,4,war AND veteran,1966
77,1,war AND veteran,1967
85,2,war AND veteran,1967
66,3,war AND veteran,1967
83,4,war AND veteran,1967
77,1,war AND veteran,1968
71,2,war AND veteran,1968
76,3,war AND veteran,1968
80,4,war AND veteran,1968
63,1,war AND veteran,1969
77,2,war AND veteran,1969
64,3,war AND veteran,1969
103,4,war AND veteran,1969
60,1,war AND veteran,1970
86,2,war AND veteran,1970
75,3,war AND veteran,1970
100,4,war AND veteran,1970
59,1,war AND veteran,1971
94,2,war AND veteran,1971
92,3,war AND veteran,1971
86,4,war AND veteran,1971
68,1,war AND veteran,1972
84,2,war AND veteran,1972
98,3,war AND veteran,1972
84,4,war AND veteran,1972
123,1,war AND veteran,1973
107,2,war AND veteran,1973
88,3,war AND veteran,1973
79,4,war AND veteran,1973
84,1,war AND veteran,1974
67,2,war AND veteran,1974
89,3,war AND veteran,1974
69,4,war AND veteran,1974
65,1,war AND veteran,1975
98,2,war AND veteran,1975
82,3,war AND veteran,1975
74,4,war AND veteran,1975
82,1,war AND veteran,1976
101,2,war AND veteran,1976
101,3,war AND veteran,1976
107,4,war AND veteran,1976
102,1,war AND veteran,1977
98,2,war AND veteran,1977
86,3,war AND veteran,1977
89,4,war AND veteran,1977
76,1,war AND veteran,1978
77,2,war AND veteran,1978
37,3,war AND veteran,1978
57,4,war AND veteran,1978
77,1,war AND veteran,1979
97,2,war AND veteran,1979
101,3,war AND veteran,1979
105,4,war AND veteran,1979
88,1,war AND veteran,1980
109,2,war AND veteran,1980
147,3,war AND veteran,1980
162,4,war AND veteran,1980
69,1,war AND veteran,1981
67,2,war AND veteran,1981
61,3,war AND veteran,1981
79,4,war AND veteran,1981
70,1,war AND veteran,1982
51,2,war AND veteran,1982
52,3,war AND veteran,1982
59,4,war AND veteran,1982
60,1,war AND veteran,1983
55,2,war AND veteran,1983
47,3,war AND veteran,1983
65,4,war AND veteran,1983
61,1,war AND veteran,1984
61,2,war AND veteran,1984
66,3,war AND veteran,1984
80,4,war AND veteran,1984
71,1,war AND veteran,1985
74,2,war AND veteran,1985
65,3,war AND veteran,1985
76,4,war AND veteran,1985
46,1,war AND veteran,1986
72,2,war AND veteran,1986
58,3,war AND veteran,1986
94,4,war AND veteran,1986
61,1,war AND veteran,1987
64,2,war AND veteran,1987
99,3,war AND veteran,1987
78,4,war AND veteran,1987
59,1,war AND veteran,1988
86,2,war AND veteran,1988
66,3,war AND veteran,1988
65,4,war AND veteran,1988
71,1,war AND veteran,1989
83,2,war AND veteran,1989
73,3,war AND veteran,1989
88,4,war AND veteran,1989
69,1,war AND veteran,1990
67,2,war AND veteran,1990
77,3,war AND veteran,1990
78,4,war AND veteran,1990
147,1,war AND veteran,1991
68,2,war AND veteran,1991
77,3,war AND veteran,1991
67,4,war AND veteran,1991
67,1,war AND veteran,1992
68,2,war AND veteran,1992
79,3,war AND veteran,1992
70,4,war AND veteran,1992
62,1,war AND veteran,1993
71,2,war AND veteran,1993
74,3,war AND veteran,1993
70,4,war AND veteran,1993
66,1,war AND veteran,1994
83,2,war AND veteran,1994
60,3,war AND veteran,1994
68,4,war AND veteran,1994
57,1,war AND veteran,1995
82,2,war AND veteran,1995
64,3,war AND veteran,1995
75,4,war AND veteran,1995
69,1,war AND veteran,1996
74,2,war AND veteran,1996
81,3,war AND veteran,1996
94,4,war AND veteran,1996
85,1,war AND veteran,1997
114,2,war AND veteran,1997
93,3,war AND veteran,1997
94,4,war AND veteran,1997
106,1,war AND veteran,1998
116,2,war AND veteran,1998
124,3,war AND veteran,1998
118,4,war AND veteran,1998
131,1,war AND veteran,1999
161,2,war AND veteran,1999
122,3,war AND veteran,1999
100,4,war AND veteran,1999
120,1,war AND veteran,2000
126,2,war AND veteran,2000
128,3,war AND veteran,2000
138,4,war AND veteran,2000
141,1,war AND veteran,2001
94,2,war AND veteran,2001
132,3,war AND veteran,2001
190,4,war AND veteran,2001
151,1,war AND veteran,2002
97,2,war AND veteran,2002
125,3,war AND veteran,2002
169,4,war AND veteran,2002
202,1,war AND veteran,2003
193,2,war AND veteran,2003
130,3,war AND veteran,2003
148,4,war AND veteran,2003
178,1,war AND veteran,2004
201,2,war AND veteran,2004
231,3,war AND veteran,2004
131,4,war AND veteran,2004
139,1,war AND veteran,2005
118,2,war AND veteran,2005
151,3,war AND veteran,2005
159,4,war AND veteran,2005
119,1,war AND veteran,2006
207,2,war AND veteran,2006
178,3,war AND veteran,2006
300,4,war AND veteran,2006
249,1,war AND veteran,2007
208,2,war AND veteran,2007
185,3,war AND veteran,2007
214,4,war AND veteran,2007
195,1,war AND veteran,2008
174,2,war AND veteran,2008
173,3,war AND veteran,2008
188,4,war AND veteran,2008
182,1,war AND veteran,2009
175,2,war AND veteran,2009
184,3,war AND veteran,2009
207,4,war AND veteran,2009
176,1,war AND veteran,2010
211,2,war AND veteran,2010
164,3,war AND veteran,2010
200,4,war AND veteran,2010
156,1,war AND veteran,2011
191,2,war AND veteran,2011
207,3,war AND veteran,2011
242,4,war AND veteran,2011
242,1,war AND veteran,2012
238,2,war AND veteran,2012
226,3,war AND veteran,2012
160,4,war AND veteran,2012
195,1,war AND veteran,2013
196,2,war AND veteran,2013
336,3,war AND veteran,2013
185,4,war AND veteran,2013
326,1,war AND veteran,2014
457,2,war AND veteran,2014
365,3,war AND veteran,2014
436,4,war AND veteran,2014
406,1,war AND veteran,2015
309,2,war AND veteran,2015
287,3,war AND veteran,2015
320,4,war AND veteran,2015
293,1,war AND veteran,2016
320,2,war AND veteran,2016
332,3,war AND veteran,2016
304,4,war AND veteran,2016
