hits,quarter,term,year
2824,3,war,1970
3057,4,war,1970
2546,1,war,1971
2964,2,war,1971
2582,3,war,1971
2763,4,war,1971
2651,1,war,1972
2998,2,war,1972
2635,3,war,1972
3006,4,war,1972
3326,1,war,1973
2681,2,war,1973
2484,3,war,1973
3323,4,war,1973
2584,1,war,1974
2416,2,war,1974
2426,3,war,1974
2473,4,war,1974
2504,1,war,1975
2820,2,war,1975
2210,3,war,1975
2337,4,war,1975
2458,1,war,1976
2425,2,war,1976
2316,3,war,1976
2476,4,war,1976
2217,1,war,1977
2299,2,war,1977
2300,3,war,1977
2357,4,war,1977
2194,1,war,1978
2271,2,war,1978
966,3,war,1978
1305,4,war,1978
2149,1,war,1979
2127,2,war,1979
2134,3,war,1979
2132,4,war,1979
2230,1,war,1980
2600,2,war,1980
3740,3,war,1980
4824,4,war,1980
1840,1,war,1981
1894,2,war,1981
1854,3,war,1981
2329,4,war,1981
1870,1,war,1982
2518,2,war,1982
2096,3,war,1982
2098,4,war,1982
1925,1,war,1983
1930,2,war,1983
1865,3,war,1983
2114,4,war,1983
1981,1,war,1984
2033,2,war,1984
1907,3,war,1984
1941,4,war,1984
1809,1,war,1985
2118,2,war,1985
1798,3,war,1985
2085,4,war,1985
1864,1,war,1986
2086,2,war,1986
1891,3,war,1986
2143,4,war,1986
1843,1,war,1987
2012,2,war,1987
2106,3,war,1987
2105,4,war,1987
1996,1,war,1988
2067,2,war,1988
2081,3,war,1988
2007,4,war,1988
1963,1,war,1989
1891,2,war,1989
1922,3,war,1989
2205,4,war,1989
2125,1,war,1990
1917,2,war,1990
2480,3,war,1990
2700,4,war,1990
4590,1,war,1991
2564,2,war,1991
2180,3,war,1991
2117,4,war,1991
2302,1,war,1992
2132,2,war,1992
2326,3,war,1992
2346,4,war,1992
2056,1,war,1993
2131,2,war,1993
2028,3,war,1993
1948,4,war,1993
2003,1,war,1994
1991,2,war,1994
1861,3,war,1994
1919,4,war,1994
1916,1,war,1995
2063,2,war,1995
1861,3,war,1995
1950,4,war,1995
1954,1,war,1996
2000,2,war,1996
2026,3,war,1996
2024,4,war,1996
1887,1,war,1997
2057,2,war,1997
1916,3,war,1997
2027,4,war,1997
2116,1,war,1998
2108,2,war,1998
2058,3,war,1998
2184,4,war,1998
2321,1,war,1999
2997,2,war,1999
2226,3,war,1999
2480,4,war,1999
2443,1,war,2000
2352,2,war,2000
2243,3,war,2000
2395,4,war,2000
2070,1,war,2001
2239,2,war,2001
2731,3,war,2001
4328,4,war,2001
2902,1,war,2002
2694,2,war,2002
2631,3,war,2002
3302,4,war,2002
4996,1,war,2003
4498,2,war,2003
2835,3,war,2003
2936,4,war,2003
2865,1,war,2004
3222,2,war,2004
3209,3,war,2004
2943,4,war,2004
2574,1,war,2005
2432,2,war,2005
2430,3,war,2005
2760,4,war,2005
2566,1,war,2006
3329,2,war,2006
4087,3,war,2006
4242,4,war,2006
4035,1,war,2007
3907,2,war,2007
3627,3,war,2007
3517,4,war,2007
3506,1,war,2008
3324,2,war,2008
3300,3,war,2008
3292,4,war,2008
3290,1,war,2009
3194,2,war,2009
3034,3,war,2009
3632,4,war,2009
2990,1,war,2010
3068,2,war,2010
3017,3,war,2010
3273,4,war,2010
2984,1,war,2011
3296,2,war,2011
3242,3,war,2011
3882,4,war,2011
3531,1,war,2012
3272,2,war,2012
2997,3,war,2012
2550,4,war,2012
2673,1,war,2013
2883,2,war,2013
4977,3,war,2013
2497,4,war,2013
6666,1,war,2014
6995,2,war,2014
7194,3,war,2014
6765,4,war,2014
6930,1,war,2015
6816,2,war,2015
7152,3,war,2015
7470,4,war,2015
6787,1,war,2016
6717,2,war,2016
6402,3,war,2016
6618,4,war,2016
