hits,quarter,term,year
0,4,bulimia,1921
0,1,bulimia,1922
0,2,bulimia,1922
0,3,bulimia,1922
0,4,bulimia,1922
0,1,bulimia,1923
0,2,bulimia,1923
0,3,bulimia,1923
0,4,bulimia,1923
0,1,bulimia,1924
0,2,bulimia,1924
0,3,bulimia,1924
0,4,bulimia,1924
0,1,bulimia,1925
0,2,bulimia,1925
0,3,bulimia,1925
0,4,bulimia,1925
0,1,bulimia,1926
0,2,bulimia,1926
0,3,bulimia,1926
0,4,bulimia,1926
0,1,bulimia,1927
0,2,bulimia,1927
0,3,bulimia,1927
0,4,bulimia,1927
0,1,bulimia,1928
0,2,bulimia,1928
0,3,bulimia,1928
1,4,bulimia,1928
0,1,bulimia,1929
0,2,bulimia,1929
0,3,bulimia,1929
0,4,bulimia,1929
0,1,bulimia,1930
0,2,bulimia,1930
0,3,bulimia,1930
0,4,bulimia,1930
0,1,bulimia,1931
0,2,bulimia,1931
0,3,bulimia,1931
0,4,bulimia,1931
0,1,bulimia,1932
0,2,bulimia,1932
0,3,bulimia,1932
0,4,bulimia,1932
0,1,bulimia,1933
0,2,bulimia,1933
0,3,bulimia,1933
0,4,bulimia,1933
0,1,bulimia,1934
0,2,bulimia,1934
0,3,bulimia,1934
0,4,bulimia,1934
0,1,bulimia,1935
0,2,bulimia,1935
0,3,bulimia,1935
0,4,bulimia,1935
0,1,bulimia,1936
0,2,bulimia,1936
0,3,bulimia,1936
0,4,bulimia,1936
0,1,bulimia,1937
0,2,bulimia,1937
0,3,bulimia,1937
0,4,bulimia,1937
0,1,bulimia,1938
0,2,bulimia,1938
0,3,bulimia,1938
0,4,bulimia,1938
0,1,bulimia,1939
0,2,bulimia,1939
0,3,bulimia,1939
0,4,bulimia,1939
0,1,bulimia,1940
0,2,bulimia,1940
0,3,bulimia,1940
0,4,bulimia,1940
0,1,bulimia,1941
0,2,bulimia,1941
0,3,bulimia,1941
0,4,bulimia,1941
0,1,bulimia,1942
0,2,bulimia,1942
0,3,bulimia,1942
0,4,bulimia,1942
0,1,bulimia,1943
0,2,bulimia,1943
0,3,bulimia,1943
1,4,bulimia,1943
0,1,bulimia,1944
0,2,bulimia,1944
0,3,bulimia,1944
0,4,bulimia,1944
0,1,bulimia,1945
0,2,bulimia,1945
0,3,bulimia,1945
0,4,bulimia,1945
0,1,bulimia,1946
0,2,bulimia,1946
0,3,bulimia,1946
0,4,bulimia,1946
0,1,bulimia,1947
0,2,bulimia,1947
0,3,bulimia,1947
0,4,bulimia,1947
0,1,bulimia,1948
0,2,bulimia,1948
0,3,bulimia,1948
0,4,bulimia,1948
0,1,bulimia,1949
0,2,bulimia,1949
0,3,bulimia,1949
0,4,bulimia,1949
0,1,bulimia,1950
0,2,bulimia,1950
0,3,bulimia,1950
0,4,bulimia,1950
0,1,bulimia,1951
0,2,bulimia,1951
0,3,bulimia,1951
0,4,bulimia,1951
0,1,bulimia,1952
0,2,bulimia,1952
0,3,bulimia,1952
0,4,bulimia,1952
0,1,bulimia,1953
0,2,bulimia,1953
0,3,bulimia,1953
0,4,bulimia,1953
0,1,bulimia,1954
0,2,bulimia,1954
0,3,bulimia,1954
0,4,bulimia,1954
0,1,bulimia,1955
0,2,bulimia,1955
0,3,bulimia,1955
