hits,quarter,term,year
342,2,cancer,1963
304,3,cancer,1963
347,4,cancer,1963
367,1,cancer,1964
251,2,cancer,1964
252,3,cancer,1964
279,4,cancer,1964
328,1,cancer,1965
322,2,cancer,1965
224,3,cancer,1965
239,4,cancer,1965
300,1,cancer,1966
279,2,cancer,1966
220,3,cancer,1966
318,4,cancer,1966
322,1,cancer,1967
307,2,cancer,1967
294,3,cancer,1967
261,4,cancer,1967
284,1,cancer,1968
239,2,cancer,1968
246,3,cancer,1968
236,4,cancer,1968
227,1,cancer,1969
235,2,cancer,1969
244,3,cancer,1969
303,4,cancer,1969
335,1,cancer,1970
331,2,cancer,1970
273,3,cancer,1970
314,4,cancer,1970
302,1,cancer,1971
286,2,cancer,1971
283,3,cancer,1971
332,4,cancer,1971
282,1,cancer,1972
307,2,cancer,1972
308,3,cancer,1972
339,4,cancer,1972
307,1,cancer,1973
322,2,cancer,1973
373,3,cancer,1973
321,4,cancer,1973
393,1,cancer,1974
395,2,cancer,1974
386,3,cancer,1974
546,4,cancer,1974
374,1,cancer,1975
403,2,cancer,1975
371,3,cancer,1975
504,4,cancer,1975
461,1,cancer,1976
415,2,cancer,1976
440,3,cancer,1976
437,4,cancer,1976
429,1,cancer,1977
558,2,cancer,1977
500,3,cancer,1977
490,4,cancer,1977
536,1,cancer,1978
555,2,cancer,1978
197,3,cancer,1978
297,4,cancer,1978
435,1,cancer,1979
536,2,cancer,1979
459,3,cancer,1979
539,4,cancer,1979
483,1,cancer,1980
626,2,cancer,1980
767,3,cancer,1980
878,4,cancer,1980
293,1,cancer,1981
315,2,cancer,1981
293,3,cancer,1981
329,4,cancer,1981
296,1,cancer,1982
299,2,cancer,1982
283,3,cancer,1982
330,4,cancer,1982
370,1,cancer,1983
355,2,cancer,1983
351,3,cancer,1983
337,4,cancer,1983
363,1,cancer,1984
364,2,cancer,1984
334,3,cancer,1984
328,4,cancer,1984
333,1,cancer,1985
333,2,cancer,1985
501,3,cancer,1985
428,4,cancer,1985
373,1,cancer,1986
435,2,cancer,1986
376,3,cancer,1986
439,4,cancer,1986
429,1,cancer,1987
445,2,cancer,1987
464,3,cancer,1987
504,4,cancer,1987
501,1,cancer,1988
544,2,cancer,1988
422,3,cancer,1988
501,4,cancer,1988
523,1,cancer,1989
473,2,cancer,1989
465,3,cancer,1989
538,4,cancer,1989
494,1,cancer,1990
528,2,cancer,1990
540,3,cancer,1990
550,4,cancer,1990
504,1,cancer,1991
567,2,cancer,1991
542,3,cancer,1991
486,4,cancer,1991
504,1,cancer,1992
