hits,quarter,year
26155,1,1987
27097,2,1987
25588,3,1987
27222,4,1987
26129,1,1988
25679,2,1988
25919,3,1988
26621,4,1988
25618,1,1989
26377,2,1989
24476,3,1989
26368,4,1989
25968,1,1990
25370,2,1990
23011,3,1990
23514,4,1990
21724,1,1991
22177,2,1991
21792,3,1991
21567,4,1991
22649,1,1992
23691,2,1992
22797,3,1992
22938,4,1992
21342,1,1993
21860,2,1993
21506,3,1993
23384,4,1993
20829,1,1994
21178,2,1994
21020,3,1994
21733,4,1994
20557,1,1995
22485,2,1995
22222,3,1995
23067,4,1995
20825,1,1996
20885,2,1996
20581,3,1996
20820,4,1996
24040,1,1997
24594,2,1997
24407,3,1997
26563,4,1997
25732,1,1998
25720,2,1998
25360,3,1998
26894,4,1998
26605,1,1999
26772,2,1999
25693,3,1999
27025,4,1999
26699,1,2000
26388,2,2000
26470,3,2000
27678,4,2000
25468,1,2001
26789,2,2001
27339,3,2001
29341,4,2001
28200,1,2002
28082,2,2002
26924,3,2002
29089,4,2002
28317,1,2003
28444,2,2003
26567,3,2003
27231,4,2003
27198,1,2004
26344,2,2004
25950,3,2004
26897,4,2004
26505,1,2005
26122,2,2005
25405,3,2005
26194,4,2005
28417,1,2006
34561,2,2006
36207,3,2006
37689,4,2006
37452,1,2007
37855,2,2007
37160,3,2007
38204,4,2007
39981,1,2008
39020,2,2008
39282,3,2008
39991,4,2008
41934,1,2009
41279,2,2009
40368,3,2009
43240,4,2009
41871,1,2010
40429,2,2010
38534,3,2010
38628,4,2010
37707,1,2011
37286,2,2011
41456,3,2011
48574,4,2011
45310,1,2012
39971,2,2012
35318,3,2012
28857,4,2012
29840,1,2013
31882,2,2013
51086,3,2013
28746,4,2013
75182,1,2014
76348,2,2014
75292,3,2014
91488,4,2014
90673,1,2015
78140,2,2015
77694,3,2015
79281,4,2015
78177,1,2016
89457,2,2016
68938,3,2016
65679,4,2016
