hits,quarter,term,year
0,1,anorexia,1958
0,2,anorexia,1958
0,3,anorexia,1958
0,4,anorexia,1958
0,1,anorexia,1959
1,2,anorexia,1959
0,3,anorexia,1959
0,4,anorexia,1959
0,1,anorexia,1960
0,2,anorexia,1960
0,3,anorexia,1960
0,4,anorexia,1960
0,1,anorexia,1961
0,2,anorexia,1961
0,3,anorexia,1961
0,4,anorexia,1961
0,1,anorexia,1962
0,2,anorexia,1962
0,3,anorexia,1962
0,4,anorexia,1962
0,1,anorexia,1963
0,2,anorexia,1963
1,3,anorexia,1963
0,4,anorexia,1963
0,1,anorexia,1964
0,2,anorexia,1964
0,3,anorexia,1964
0,4,anorexia,1964
0,1,anorexia,1965
0,2,anorexia,1965
0,3,anorexia,1965
0,4,anorexia,1965
0,1,anorexia,1966
0,2,anorexia,1966
0,3,anorexia,1966
0,4,anorexia,1966
0,1,anorexia,1967
1,2,anorexia,1967
0,3,anorexia,1967
0,4,anorexia,1967
0,1,anorexia,1968
0,2,anorexia,1968
0,3,anorexia,1968
0,4,anorexia,1968
0,1,anorexia,1969
0,2,anorexia,1969
0,3,anorexia,1969
0,4,anorexia,1969
0,1,anorexia,1970
1,2,anorexia,1970
0,3,anorexia,1970
0,4,anorexia,1970
0,1,anorexia,1971
0,2,anorexia,1971
0,3,anorexia,1971
0,4,anorexia,1971
0,1,anorexia,1972
0,2,anorexia,1972
0,3,anorexia,1972
0,4,anorexia,1972
0,1,anorexia,1973
1,2,anorexia,1973
0,3,anorexia,1973
0,4,anorexia,1973
0,1,anorexia,1974
0,2,anorexia,1974
0,3,anorexia,1974
3,4,anorexia,1974
0,1,anorexia,1975
2,2,anorexia,1975
0,3,anorexia,1975
1,4,anorexia,1975
0,1,anorexia,1976
2,2,anorexia,1976
0,3,anorexia,1976
0,4,anorexia,1976
0,1,anorexia,1977
1,2,anorexia,1977
0,3,anorexia,1977
0,4,anorexia,1977
0,1,anorexia,1978
10,2,anorexia,1978
0,3,anorexia,1978
3,4,anorexia,1978
5,1,anorexia,1979
3,2,anorexia,1979
3,3,anorexia,1979
4,4,anorexia,1979
2,1,anorexia,1980
8,2,anorexia,1980
12,3,anorexia,1980
9,4,anorexia,1980
2,1,anorexia,1981
6,2,anorexia,1981
6,3,anorexia,1981
7,4,anorexia,1981
3,1,anorexia,1982
3,2,anorexia,1982
8,3,anorexia,1982
4,4,anorexia,1982
5,1,anorexia,1983
8,2,anorexia,1983
10,3,anorexia,1983
3,4,anorexia,1983
4,1,anorexia,1984
4,2,anorexia,1984
5,3,anorexia,1984
4,4,anorexia,1984
12,1,anorexia,1985
3,2,anorexia,1985
8,3,anorexia,1985
7,4,anorexia,1985
9,1,anorexia,1986
4,2,anorexia,1986
5,3,anorexia,1986
9,4,anorexia,1986
2,1,anorexia,1987
5,2,anorexia,1987
8,3,anorexia,1987
8,4,anorexia,1987
8,1,anorexia,1988
6,2,anorexia,1988
13,3,anorexia,1988
7,4,anorexia,1988
11,1,anorexia,1989
4,2,anorexia,1989
8,3,anorexia,1989
6,4,anorexia,1989
7,1,anorexia,1990
5,2,anorexia,1990
10,3,anorexia,1990
6,4,anorexia,1990
5,1,anorexia,1991
10,2,anorexia,1991
5,3,anorexia,1991
7,4,anorexia,1991
10,1,anorexia,1992
8,2,anorexia,1992
7,3,anorexia,1992
9,4,anorexia,1992
6,1,anorexia,1993
5,2,anorexia,1993
9,3,anorexia,1993
13,4,anorexia,1993
1,1,anorexia,1994
9,2,anorexia,1994
10,3,anorexia,1994
9,4,anorexia,1994
4,1,anorexia,1995
8,2,anorexia,1995
4,3,anorexia,1995
11,4,anorexia,1995
11,1,anorexia,1996
9,2,anorexia,1996
12,3,anorexia,1996
7,4,anorexia,1996
8,1,anorexia,1997
15,2,anorexia,1997
11,3,anorexia,1997
14,4,anorexia,1997
13,1,anorexia,1998
11,2,anorexia,1998
11,3,anorexia,1998
17,4,anorexia,1998
17,1,anorexia,1999
16,2,anorexia,1999
7,3,anorexia,1999
10,4,anorexia,1999
11,1,anorexia,2000
8,2,anorexia,2000
16,3,anorexia,2000
16,4,anorexia,2000
4,1,anorexia,2001
11,2,anorexia,2001
6,3,anorexia,2001
6,4,anorexia,2001
8,1,anorexia,2002
12,2,anorexia,2002
13,3,anorexia,2002
8,4,anorexia,2002
10,1,anorexia,2003
16,2,anorexia,2003
8,3,anorexia,2003
5,4,anorexia,2003
6,1,anorexia,2004
10,2,anorexia,2004
13,3,anorexia,2004
12,4,anorexia,2004
13,1,anorexia,2005
13,2,anorexia,2005
7,3,anorexia,2005
12,4,anorexia,2005
15,1,anorexia,2006
21,2,anorexia,2006
19,3,anorexia,2006
21,4,anorexia,2006
31,1,anorexia,2007
24,2,anorexia,2007
9,3,anorexia,2007
20,4,anorexia,2007
21,1,anorexia,2008
22,2,anorexia,2008
16,3,anorexia,2008
17,4,anorexia,2008
13,1,anorexia,2009
18,2,anorexia,2009
22,3,anorexia,2009
13,4,anorexia,2009
21,1,anorexia,2010
24,2,anorexia,2010
20,3,anorexia,2010
21,4,anorexia,2010
19,1,anorexia,2011
18,2,anorexia,2011
14,3,anorexia,2011
14,4,anorexia,2011
19,1,anorexia,2012
17,2,anorexia,2012
5,3,anorexia,2012
23,4,anorexia,2012
4,1,anorexia,2013
16,2,anorexia,2013
8,3,anorexia,2013
12,4,anorexia,2013
10,1,anorexia,2014
8,2,anorexia,2014
13,3,anorexia,2014
17,4,anorexia,2014
17,1,anorexia,2015
18,2,anorexia,2015
6,3,anorexia,2015
9,4,anorexia,2015
19,1,anorexia,2016
22,2,anorexia,2016
16,3,anorexia,2016
15,4,anorexia,2016
